id,TYPE,APN,Application,SubApp,Temperature,Targetdistance,Wavelength,FiberConnectortype,PowerConsumption,PhysicalDimension,Acronym,CLEICode,Specification,1ABinBOM,RelatedAPN,Vendor1,Vendor1PN,Vendor2,Vendor2PN,Vendor3,Vendor3PN,Vendor4,Vendor4PN,Vendor5,Vendor5PN,BitRate,Txpower,ExtinctionRation,Sensitivity_BacktoBack,Overload,AttenuationRange,PathPenalty,Link,Link2,Sensitivity_FECdisable,Attenuation_range_FECdisable,Maximum_chromatic_dispersion_FECdisable,Sensitivity_FECenable,Maximum_chromatic_dispersion_FECenable,Frequency,FrequencySpacing,Channels,BERObjective_FECenable,BERObjective_FECdisable,OSNRtolerance_withmaxCD_FECenable,OSNRtolerance_withmaxCD_FECdisable,OSNRtolerance_withminCD_FECenable,OSNRtolerance_withminCD_FECdisable,Maximum_chromatic_dispersion,Minimum_chromatic_dispersion,WDMtype,Wavelength_deviation,Txpower_perlane,Txpower_total,Single_rate,Data_rate_per_lane,BERObjective,Source_type,Overload_per_lane,Optical_path_penalty,Maximum_chromatic_dispersion_range_at_upper_wavelength_limit,Minimum_chromatic_dispersion_range_at_lower_wavelength_limit,Dual_rate,Overload_1E_12,Overload_1E_4,Sensitivity_2E_3,Sensitivity_1E_4,Sensitivity_1E_12,OSNR_tolerance_with_CD_2E_3,OSNR_tolerance_with_CD_1E_12,OSNR_tolerance_with_CD_1E_4,OSNR_tolerance_without_CD_2E_3,OSNR_tolerance_without_CD_1E_12,OSNR_tolerance_without_CD_1E_4,Tx_Wavelength,Connectortype,Sensitivity_per_lane_BacktoBack,Attenuation_range_FECenable,Link1_URL,Link2_URL,BERObjective_100GbE,BERObjective_OTU4,Dual_rate_100GbE,Dual_rate_OTU4,Sensitivity_per_lane_100GbE,Sensitivity_per_lane_OTU4,Data_rate_per_lane_100GbE,Data_rate_per_lane_OTU4,Attenuation_range_100GbE,Attenuation_range_OTU4,Optical_path_penalty_100GbE,Optical_path_penalty_OTU4,Link3,Link4,Link5,Link6,Link7
1,SFP,1AB376350001,B&W,SS-1.1, -40/+85,15,1310,SMF,1.1,56.5x13.7x8.5,S155S15I,NGI7AMEMAA,SFP S-1.1 -40/+85 (B&W STM-1/OC-3 DDM 1310nm (S-1.1/IR-1)),NA,NA,WTD,RTXM139-001-C49,Vendor2,,,,,,,,0.155(??20ppm),-15~-8,>8.2,-28,-8,0 to 12,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,MLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376350001_1.PNG,1AB376350001_2.PNG,1AB376350001_3.PNG,1AB376350001_4.jpg,1AB376350001_5.jpg
2,SFP,1AB376350002,B&W,SL-1.1, -40/+85,40,1310,SMF,1.1,56.5x13.7x8.5,S155S40I,NGI7AMFMAA,SFP L-1.1 -40/+85 (B&W STM-1/OC-3 DDM 1310nm (L-1.1/LR-1),NA,NA,WTD,RTXM140-001-C48,,,,,,,,,0.155(??20ppm),-5~0,>10,-34,-10,10 to 28,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,MLM/SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376350002_1.PNG,1AB376350002_2.PNG,1AB376350002_3.PNG,\N,\N
3,SFP,1AB376350003,B&W,SL-1.2, -40/+85,80,1550,SMF,1.1,56.5x13.7x8.5,S155S80I,NGI7AMGMAA,SFP L-1.2 -40/+85 (B&W STM-1/OC-3 DDM 1550nm (L-1.2/LR-2)),NA,NA,WTD,RTXM140-301-C48 ,,,,,,,,,0.155(??20ppm),-5~0,>10,-34,-10,10 to 28,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376350003_1.PNG,1AB376350003_2.PNG,1AB376350003_3.PNG,1AB376350003_4.jpg,\N
4,SFP,1AB376360001,B&W,SS-4.1, -40/+85,15,1310,SMF,1.1,56.5x13.7x8.5,S622S15I,NGI7AMHMAA,SFP S-4.1 -40/+85? (B&W STM-4/OC-12 DDM 1310nm (S-4.1/IR-1)),NA,NA,WTD,RTXM159-001-C48,,,,,,,,,0.622(??20ppm),-15~-8,>8.2,-28,-8,0 to 12,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,MLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376360001_1.PNG,1AB376360001_2.PNG,1AB376360001_3.PNG,\N,\N
5,SFP,1AB376360002,B&W,SL-4.1, -40/+85,40,1310,SMF,1.1,56.5x13.7x8.5,S622S40I,NGI7AMJMAA,SFP L-4.1 -40/+85? (B&W STM-4/OC-12 DDM 1310nm (L-4.1/LR-1)),NA,NA,WTD,RTXM160-002-C48 ,,,,,,,,,0.622(??20ppm),-3~+2,>10,-28,-8,10 to 24,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376360002_1.PNG,1AB376360002_2.PNG,1AB376360002_3.PNG,\N,\N
6,SFP,1AB376360003,B&W,SL-4.2, -40/+85,80,1550,SMF,1.1,56.5x13.7x8.5,S622S80I,NGI7AMKMAA,SFP L-4.2 -40/+85 (B&W STM-4/OC-12 DDM 1550nm (L-4.2/LR-2)),NA,NA,WTD,RTXM160-301-C48 ,,,,,,,,,0.622(??20ppm),-3~+2,>10,-28,-8,10 to 24,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376360003_1.PNG,1AB376360003_2.PNG,1AB376360003_3.PNG,\N,\N
7,SFP,1AB376370001,B&W,SI-16.1,-0.470588235,2,1310,SMF,1.1,56.5x13.7x8.5,S2G7D2I,NGI7AMTMAA,SFP I-16.1 -40/+85 (B&W STM-16/OC-48 DDM 1310nm (I-16.1/SR-1)),NA,NA,FINISAR,FTLF1321P1BTL-AL,WTD,RTXM192-404-C48,,,,,,,2.488(??20ppm) to 2.67(??20ppm),-10~-3,>8.2,-18,-3,0 to 7,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,MLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376370001_1.PNG,1AB376370001_2.PNG,1AB376370001_3.PNG,\N,\N
8,SFP,1AB376370002,B&W,SS-16.1, -5/+85,15,1310,SMF,1.1,56.5x13.7x8.5,S2G7D15E,NGI7AMUMAA,ALU SFP S-16.1 -5/+85,NA,NA,WTD,RTXM192-466-C48,,,,,,,,,2.488(??20ppm) to 2.67(??20ppm),-5~0,>8.2,-18,0,0 to 12,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376370002_1.PNG,1AB376370002_2.PNG,1AB376370002_3.PNG,\N,\N
9,SFP,1AB376370003,B&W,SL-16.1, -5/+85,40,1310,SMF,1.1,56.5x13.7x8.5,S2G7D40E,NGI7ANRMAA,SFP L-16.1 -5/+85 (B&W STM-16/OC-48 DDM 1310nm (L-16.1/LR-1)),NA,NA,WTD,RTXM192-452-C48,,,,,,,,,2.488(??20ppm) to 2.67(??20ppm),-2~+3,>8.2,-27,-9,12 to 24,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376370003_1.PNG,1AB376370003_2.PNG,1AB376370003_3.PNG,\N,\N
10,SFP,1AB376370007,B&W,SL-16.1, -40/+85,40,1310,SMF,1.1,56.5x13.7x8.5,S2G7D40I,NGI7AULMAA,SFP L-16.1 -40/+85 (B&W STM-16/OC-48 DDM 1310nm (L-16.1/LR-1)),NA,NA,WTD,RTXM192-470-C49,,,,,,,,,2.488(??20ppm) to 2.67(??20ppm),-2~+3,>8.2,-27,-9,12 to 24,1,https://nokia.sharepoint.com/:b:/r/sites/otp-optics/Photonics/Specifications/db/SFP/ALCATEL-LUCENT%20spec/SFP%20Common%20Spec%20rev%201.2.pdf?csf=1,,,,,,,,,,,,,,,,,,,,,,,,,SLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1AB376370007_1.PNG,1AB376370007_2.PNG,1AB376370007_3.PNG,\N,\N
